ION ,CHARGE,$ALPHA$
H,1,900
(C6H5)2CHCO2,1,800
(C3H7)4N,1,800
(O2N)3C6H2O,1,700
(C3H7)3NH,1,700
CH3OC6H4CO2,1,700
Li,1,600
C6H5CO2,1,600
 HOC6H4CO2,1,600
 ClC6H4CO2,1,600
C6H5CH2CO2,1,600
CH2CHCH2CO2,1,600
(CH3)2CHCH2CO2,1,600
(CH3CH2)4N,1,600
(C3H7)2NH2,1,600
Na,1,450
CdCl,1,450
ClO2,1,450
 IO3,1,450
HCO3,1,450
H2PO4,1,450
 HSO3,1,450
H2AsO4,1,450
Co(NH3)4(NO2)2,1,450
CH3CO2,1,450
ClCH2CO2,1,450
(CH3)4N,1,450
(CH3CH2)2NH2,1,450
H2NCH2CO2,1,450
H3NCH2CO2,1,400
(CH3)3NH,1,400
CH3CH2NH3,1,400
OH,1,350
F,1,350
SCN,1,350
OCN,1,350
HS,1,350
ClO3,1,350
ClO4,1,350
BrO3,1,350
IO4,1,350
MnO4,1,350
HCO2,1,350
H2citrate,1,350
CH3NH3,1,350
(CH3)2NH2,1,350
K,1,300
Cl,1,300
Br,1,300
I,1,300
CN,1,300
NO2,1,300
NO3,1,300
Rb,1,250
Cs,1,250
NH4,1,250
Tl,1,250
Ag,1,250
Mg,2,800
Be2,2,800
CH2(CH2CH2CO2)2,2,700
(CH2CH2CH2CO2)2,2,700
Ca2,2,600
Cu2,2,600
Zn2,2,600
Sn2,2,600
Mn2,2,600
Fe2,2,600
Ni2,2,600
Co2,2,600
C6H4(CO2)2,2,600
H2C(CH2CO2)2,2,600
(CH2CH2CO2)2,2,600
Sr2,2,500
Ba2,2,500
Cd2,2,500
Hg2,2,500
S2,2,500
S2O42,2,500
WO42,2,500
H2C(CO2)2,2,500
(CH2CO2)2,2,500
Pb2,2,450
CO32,2,450
SO32,2,450
MoO42,2,450
Co(NH3)5Cl2,2,450
Fe(CN)5NO2,2,450
C2O42,2,450
Hcitrate2,2,450
Hg22,2,400
SO42,2,400
S2O32,2,400
S2O62,2,400
S2O82,2,400
SeO42,2,400
CrO42,2,400
HPO42,2,400
Al3,3,900
Fe3,3,900
Cr3,3,900
Sc3,3,900
Y3,3,900
In3,3,900
lanthanides ,3,900
citrate3,3,500
PO43,3,400
Fe(CN)63,3,400
Cr(NH3)63,3,400
Co(NH3)5H2O3,3,400
Th4,4,1100
Zr4,4,1100
Ce4,4,1100
Sn4,4,1100
Fe(CN64,4,500
